source_project,generated_at_utc,child_schema,child_table,child_column,parent_schema,parent_table,parent_column,constraint_name,child_tenant_scope,authenticated_insert_privilege,authenticated_update_privilege,authenticated_delete_privilege,anon_insert_privilege,anon_update_privilege,anon_delete_privilege,rls_enabled,effective_policy_names,policy_business_predicate,trigger_names,trigger_mentions_child_and_business,composite_same_business_fk,exploitability_rank,exploitability_reason,same_business_assessment,recommended_remediation
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","app","booking_management_change_submissions","management_token_id","app","booking_management_tokens","id","booking_management_change_submissions_management_token_id_fkey","derived:parent.business_id","f","f","f","f","f","f","t","","f","","f","false","LOW-SERVER-ONLY","No authenticated browser DML privilege was observed. This is likely server/RPC-only, but future privileged writes still need a same-business invariant.","No catalog-level same-business proof found.","Add a composite same-business FK for server-written relationships where semantically tenant-bound; otherwise explicitly revoke anon/authenticated DML and regression-test every RPC/trigger writer."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","app","loyalty_tier_default_operations_v143","config_version_id","public","firm_config_versions","id","loyalty_tier_default_operations_v143_config_version_id_fkey","direct:business_id","f","f","f","f","f","f","f","","f","loyalty_tier_default_operations_v143_immutable","f","false","LOW-SERVER-ONLY","No authenticated browser DML privilege was observed. This is likely server/RPC-only, but future privileged writes still need a same-business invariant.","No catalog-level same-business proof found.","Add a composite same-business FK for server-written relationships where semantically tenant-bound; otherwise explicitly revoke anon/authenticated DML and regression-test every RPC/trigger writer."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","app","referral_value_provenance_v480","referral_id","public","referrals","id","referral_value_provenance_v480_referral_id_fkey","direct:business_id","f","f","f","f","f","f","f","","f","","f","false","LOW-SERVER-ONLY","No authenticated browser DML privilege was observed. This is likely server/RPC-only, but future privileged writes still need a same-business invariant.","No catalog-level same-business proof found.","Add a composite same-business FK for server-written relationships where semantically tenant-bound; otherwise explicitly revoke anon/authenticated DML and regression-test every RPC/trigger writer."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","app","service_bundle_operations_v123","bundle_id","public","bundles","id","service_bundle_operations_v123_bundle_id_fkey","direct:business_id","f","f","f","f","f","f","t","","f","","f","false","LOW-SERVER-ONLY","No authenticated browser DML privilege was observed. This is likely server/RPC-only, but future privileged writes still need a same-business invariant.","No catalog-level same-business proof found.","Add a composite same-business FK for server-written relationships where semantically tenant-bound; otherwise explicitly revoke anon/authenticated DML and regression-test every RPC/trigger writer."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","appointment_services","appointment_id","public","appointments","id","appointment_services_appointment_id_fkey","derived:parent.business_id","t","t","t","t","t","t","t","appointment_services_delete_v572:DELETE;appointment_services_insert_v572:INSERT;appointment_services_sa_read:SELECT;appointment_services_select:SELECT;appointment_services_update_v572:UPDATE","t","","f","false","HIGH-CONDITIONAL","Authenticated browser DML exists; RLS proves the child tenant/module only, while the simple FK does not bind the referenced parent row to that tenant. A known foreign UUID could create a cross-tenant association.","RLS contains a business predicate for the child row, but no composite child-reference/business proof is present.","Add a validated composite (child_reference,business_id) -> (parent_id,business_id) FK, or an equivalent hardened RPC/trigger. Preserve RLS, revoke unused browser verbs, and add a two-tenant known-UUID negative test."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","appointment_services","service_id","public","services","id","appointment_services_service_id_fkey","derived:parent.business_id","t","t","t","t","t","t","t","appointment_services_delete_v572:DELETE;appointment_services_insert_v572:INSERT;appointment_services_sa_read:SELECT;appointment_services_select:SELECT;appointment_services_update_v572:UPDATE","t","","f","false","HIGH-CONDITIONAL","Authenticated browser DML exists; RLS proves the child tenant/module only, while the simple FK does not bind the referenced parent row to that tenant. A known foreign UUID could create a cross-tenant association.","RLS contains a business predicate for the child row, but no composite child-reference/business proof is present.","Add a validated composite (child_reference,business_id) -> (parent_id,business_id) FK, or an equivalent hardened RPC/trigger. Preserve RLS, revoke unused browser verbs, and add a two-tenant known-UUID negative test."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","appointments","client_id","public","clients","id","appointments_client_id_fkey","direct:business_id","f","f","f","f","f","f","t","appointments_branch_visibility:SELECT;appointments_sa_read:SELECT;appointments_v47_read:SELECT;appointments_v94_branch_module_select:SELECT","t","trg_appointment_completed;trg_appointments_default_branch;whatsapp_appointment_booked_v557;whatsapp_appointment_moved_v581;zz_appointments_guard_staff_blocked_time_v120","t","false","LOW-SERVER-ONLY","No authenticated browser DML privilege was observed. This is likely server/RPC-only, but future privileged writes still need a same-business invariant.","RLS contains a business predicate and a trigger mentions the child reference/business; this is not equivalent to a composite FK and requires manual path review.","Add a composite same-business FK for server-written relationships where semantically tenant-bound; otherwise explicitly revoke anon/authenticated DML and regression-test every RPC/trigger writer."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","appointments","resource_id","public","resources","id","appointments_resource_id_fkey","direct:business_id","f","f","f","f","f","f","t","appointments_branch_visibility:SELECT;appointments_sa_read:SELECT;appointments_v47_read:SELECT;appointments_v94_branch_module_select:SELECT","t","trg_appointment_completed;trg_appointments_default_branch;whatsapp_appointment_booked_v557;whatsapp_appointment_moved_v581;zz_appointments_guard_staff_blocked_time_v120","f","false","LOW-SERVER-ONLY","No authenticated browser DML privilege was observed. This is likely server/RPC-only, but future privileged writes still need a same-business invariant.","RLS contains a business predicate for the child row, but no composite child-reference/business proof is present.","Add a composite same-business FK for server-written relationships where semantically tenant-bound; otherwise explicitly revoke anon/authenticated DML and regression-test every RPC/trigger writer."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","appointments","service_id","public","services","id","appointments_service_id_fkey","direct:business_id","f","f","f","f","f","f","t","appointments_branch_visibility:SELECT;appointments_sa_read:SELECT;appointments_v47_read:SELECT;appointments_v94_branch_module_select:SELECT","t","trg_appointment_completed;trg_appointments_default_branch;whatsapp_appointment_booked_v557;whatsapp_appointment_moved_v581;zz_appointments_guard_staff_blocked_time_v120","t","false","LOW-SERVER-ONLY","No authenticated browser DML privilege was observed. This is likely server/RPC-only, but future privileged writes still need a same-business invariant.","RLS contains a business predicate and a trigger mentions the child reference/business; this is not equivalent to a composite FK and requires manual path review.","Add a composite same-business FK for server-written relationships where semantically tenant-bound; otherwise explicitly revoke anon/authenticated DML and regression-test every RPC/trigger writer."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","appointments","staff_id","public","staff","id","appointments_staff_id_fkey","direct:business_id","f","f","f","f","f","f","t","appointments_branch_visibility:SELECT;appointments_sa_read:SELECT;appointments_v47_read:SELECT;appointments_v94_branch_module_select:SELECT","t","trg_appointment_completed;trg_appointments_default_branch;whatsapp_appointment_booked_v557;whatsapp_appointment_moved_v581;zz_appointments_guard_staff_blocked_time_v120","t","false","LOW-SERVER-ONLY","No authenticated browser DML privilege was observed. This is likely server/RPC-only, but future privileged writes still need a same-business invariant.","RLS contains a business predicate and a trigger mentions the child reference/business; this is not equivalent to a composite FK and requires manual path review.","Add a composite same-business FK for server-written relationships where semantically tenant-bound; otherwise explicitly revoke anon/authenticated DML and regression-test every RPC/trigger writer."
