category,oid,schema,name,identity_arguments,anon_execute,authenticated_execute,first_write_token,first_write_position,direct_auth_before_write,delegated_helpers_before_write,notes
post_write_predicate,19283,public,mark_notification_read,p_id uuid,false,true,update,223,,,is_salon_member appears in same UPDATE WHERE after UPDATE token.
intended_public_write,122886,public,report_client_error_v177,"p_surface text, p_message text, p_stack text, p_url text, p_build text",true,true,insert,1049,,,Anonymous telemetry; auth.uid only attribution after INSERT; 300/hour cap and 1-minute dedupe.
intended_public_write,125055,public,submit_demo_request_v292,"p_contact_name text, p_business_name text, p_contact_email text, p_contact_phone text, p_sector text, p_note text",true,true,insert,3073,,,Anonymous demo intake; 200/hour global cap and 30-minute dedupe; add IP/CAPTCHA controls.
helper_auth_false_positive,18534,public,set_sale_policy,"p_business uuid, p_kind text, p_counts_as_revenue boolean, p_counts_as_visit boolean, p_earns_points boolean, p_note text",false,true,insert,640,,has_perm,Recognized delegated helper before first write; verify helper chain and tenant scope.
helper_auth_false_positive,18950,public,open_drawer,"p_business uuid, p_branch uuid, p_float_cents integer",false,true,insert,742,,has_perm,Recognized delegated helper before first write; verify helper chain and tenant scope.
helper_auth_false_positive,18951,public,record_drawer_movement,"p_business uuid, p_branch uuid, p_kind text, p_amount_cents integer, p_note text, p_staff uuid",false,true,insert,1116,,has_perm,Recognized delegated helper before first write; verify helper chain and tenant scope.
helper_auth_false_positive,18952,public,close_drawer,"p_business uuid, p_session uuid, p_counted_cents integer, p_note text",false,true,update,1073,,has_perm,Recognized delegated helper before first write; verify helper chain and tenant scope.
helper_auth_false_positive,19021,public,set_expense_void,"p_business uuid, p_expense uuid, p_void boolean",false,true,update,458,,has_perm|can_module,Recognized delegated helper before first write; verify helper chain and tenant scope.
helper_auth_false_positive,109798,public,publish_loyalty_config,p_version uuid,false,true,merge,1523,,c45_owner_loyalty_write,Recognized delegated helper before first write; verify helper chain and tenant scope.
helper_auth_false_positive,112142,public,customer_set_in_app_inbox_preferences,"p_business_slug text, p_topic text, p_opted_in boolean, p_quiet_hours_timezone text, p_quiet_hours_start time without time zone, p_quiet_hours_end time without time zone, p_idempotency_key uuid",false,true,insert,3327,,platform_feature_enabled,Recognized delegated helper before first write; verify helper chain and tenant scope.
helper_auth_false_positive,112145,public,customer_sync_in_app_inbox,"p_business_slug text, p_idempotency_key uuid",false,true,insert,4805,,platform_feature_enabled,Recognized delegated helper before first write; verify helper chain and tenant scope.
helper_auth_false_positive,112147,public,customer_sync_in_app_inbox_global,p_idempotency_key uuid,false,true,insert,2897,,platform_feature_enabled,Recognized delegated helper before first write; verify helper chain and tenant scope.
helper_auth_false_positive,112154,public,customer_set_in_app_inbox_state,"p_business_slug text, p_event_id uuid, p_operation text, p_idempotency_key uuid",false,true,insert,2315,,platform_feature_enabled,Recognized delegated helper before first write; verify helper chain and tenant scope.
helper_auth_false_positive,112681,public,customer_submit_visit_feedback,"p_business_slug text, p_sale uuid, p_rating integer, p_comment text, p_idempotency_key uuid",false,true,insert,1990,,v53_customer_feedback_context,Recognized delegated helper before first write; verify helper chain and tenant scope.
helper_auth_false_positive,117469,public,platform_add_my_prospect_activity_v89,"p_prospect uuid, p_activity_type text, p_summary text, p_detail text, p_occurred_at timestamp with time zone",false,true,insert,1064,,v89_platform_can|v89_can_access_prospect|can_access,Recognized delegated helper before first write; verify helper chain and tenant scope.
helper_auth_false_positive,117470,public,platform_create_my_prospect_task_v89,"p_prospect uuid, p_title text, p_due_at timestamp with time zone",false,true,insert,692,,v89_platform_can|v89_can_access_prospect|can_access,Recognized delegated helper before first write; verify helper chain and tenant scope.
helper_auth_false_positive,117471,public,platform_complete_my_prospect_task_v89,"p_task uuid, p_outcome text",false,true,update,922,,v89_platform_can|v89_can_access_prospect|can_access,Recognized delegated helper before first write; verify helper chain and tenant scope.
