gate,reusable_evidence_paths,last_known_result_date,invalidation_conditions,missing_only_commands_checks,external_access_needed,estimated_rerun_duration
P0-CUTOVER-PARITY-001,"docs/launch/launch-blockers.json; docs/launch/evidence-plan/P0-CUTOVER-PARITY-001.md; docs/supabase-sync/VERIFICATION_GATE.md; docs/supabase-sync/CLI_RUNBOOK.md; db/cutover/*.sql; scripts/supabase-sync/sync.sh; scripts/migrations/materialize-canonical-order.mjs",BLOCKED in manifest; canonical-chain/local replay notes through 2026-07-23,"Any migration, target/source catalog, storage bytes, Auth users, tenant aggregate, RLS/grant/function/cron/Realtime/config change; no hash-pinned evidence artifact exists","Run canonical migration-chain check; run strict source/target comparator on frozen endpoints; complete Dashboard manual configuration-parity attestation; hash and register JSON evidence",source+target DB/Dashboard and storage/config access required,Path B ~45m; full comparator 2-4h
P0-PUBLIC-ABUSE-002,"docs/launch/evidence-plan/P0-PUBLIC-ABUSE-002.md; tests/public-gateway/public-gateway.test.mjs; tests/security-hardening/v21-security-hardening.test.mjs; supabase/functions/_shared/gateway.ts; docs/supabase-sync/VERIFICATION_GATE.md","BLOCKED in manifest; local static assertions 26/26 + 9/9 claimed 2026-07-23","Gateway/origin/Turnstile/rate-limit code or deployed function changes; provider settings, logs, grants, or target URL changes; no production drill artifact","Run the two targeted node tests; anonymous burst/replay/PII-log drill; direct anon PostgREST/RPC bypass negative test; grant inventory; capture/hash JSON","deployed target, Turnstile test key, anon key and redacted logs","45-90m"
P0-BOOKING-TOKEN-003,"docs/launch/evidence-plan/P0-BOOKING-TOKEN-003.md; tests/public-gateway/public-gateway.test.mjs; tests/security-hardening/v21-security-hardening.test.mjs; supabase/functions/manage-booking; docs/supabase-sync/VERIFICATION_GATE.md",BLOCKED in manifest; static token/grant assertions claimed 2026-07-23,"Booking-management function/RPC/grants or deployed target changes; any token schema/policy change; no runtime positive/negative artifact","Run targeted public-gateway test; live token positive, missing, replay, cross-booking, phone-only tests; catalog grant inventory; hash/register JSON",deployed target and direct DB/catalog access,45-75m
P0-RLS-GRANTS-004,"docs/launch/evidence-plan/P0-RLS-GRANTS-004.md; db/tests/rls_adversarial_isolation.sql; db/tests/v21_security_hardening.sql; docs/qa/audit-artifacts/sec-09-security-definer-inventory-2026-08-29.json; docs/qa/audit-artifacts/sec-09-security-definer-top-slice-2026-08-29.csv",BLOCKED in manifest; static/catalog artifacts dated 2026-08-29 are supporting only,"Any schema, policy, grant, SECURITY DEFINER, search_path, role, or target data change; catalog snapshot is not runtime adversarial proof","Run rolled-back multi-tenant owner/staff/anon/unaffiliated assertions; rerun v21 SQL; compare fresh grant/policy inventory; hash/register JSON",direct non-anon DB credentials and synthetic principals,60-90m
P0-FINANCE-REVERSAL-005,"docs/launch/evidence-plan/P0-FINANCE-REVERSAL-005.md; db/tests/v20_financial_engine.sql; db/tests/v40_staff_reversal_workflows.sql; db/tests/v20_financial_concurrency.sh; db/tests/v40_reversal_credit_concurrency.sh; docs/launch/V49A_REHEARSAL_REMEDIATION_RESULTS_2026-07-22.md; tests/financial-integrity/",BLOCKED in manifest; local rehearsal results dated 2026-07-22,"Any ledger/RPC/trigger/role/grant change, migration application, fixture, or target data change; local replay does not prove production","Run v20/v40 SQL and both concurrency harnesses against disposable/rehearsal DB; reconcile ledgers; role/direct-insert denial checks; hash/register JSON",disposable/rehearsal DB credentials (never production writes),1.5-3h
P0-REPORTING-SCALE-006,"docs/launch/evidence-plan/P0-REPORTING-SCALE-006.md; scripts/reporting-scale/reporting-scale.test.mjs; docs/launch/v41-independent-status-blocker-execution-audit.md; docs/launch/ADVISOR_TRIAGE_2026-07-22.md","BLOCKED in manifest; targeted scale test 8/8 claimed 2026-07-23; >1,205-row local coverage noted","Any report/export RPC, pagination, timezone, ledger, fixture volume, query plan, or tenant policy change; near-zero live volumes cannot qualify scale","Run targeted reporting test; seed representative fixture; exercise all report/export paths over page limit and SGT month boundary; capture durations and reconciliation","staging/rehearsal DB and two timezone/browser environments","2-3h"
P0-PDPA-OPERATIONS-007,"docs/launch/evidence-plan/P0-PDPA-OPERATIONS-007.md; docs/compliance/PDPA_OPERATIONS.md; app/privacy.html; app/terms.html; app/data-request.html; tests/pdpa-pages/pdpa-pages.test.mjs; docs/legal/DATA-BREACH-RESPONSE.md; docs/legal/DPO-DESIGNATION.md",BLOCKED in manifest; pages exist and static test 5/5 claimed 2026-07-23,"Policy wording/version, links, consent schema, named roles, retention, processor/hosting facts, or public deployment changes; no operations rehearsal artifact","Run pdpa-pages test; smoke deployed policy routes; owner supplies DPO/operator/legal decisions; rehearse access/correction/withdrawal/deletion and incident escalation with synthetic data; hash/register JSON",production URL plus legal/privacy owner and named operators,30-60m decisions + 60-90m rehearsal
P0-AUTH-EMAIL-008,"docs/launch/evidence-plan/P0-AUTH-EMAIL-008.md; tests/security-hardening/v21-security-hardening.test.mjs; tests/public-gateway/public-gateway.test.mjs; docs/release/owner-dashboard-environment-steps-v89.md; docs/qa/SECURITY-CRON-FOLLOWUP-2026-08-29.md","BLOCKED in manifest; static assertions plus full read-only live Auth config captured 2026-08-29; HIBP on, Auth CAPTCHA off, email auto-confirm on, redirects clean, no custom SMTP","Supabase Auth settings, SMTP, CAPTCHA, redirect allowlist, password policy, provider sender, gateway/direct-route behavior, or deployed URL changes; no mailbox/runtime artifact","Run targeted security/gateway tests; decide confirmation policy; raise password baseline; configure custom SMTP; synthetic signup/reset/expiry/redirect/direct-endpoint abuse drill; session revocation and log-redaction check; hash/register JSON","Supabase Auth admin for approved changes, SMTP provider, synthetic mailbox and Turnstile","60-90m after provider decision"
P0-NOTIFICATIONS-009,"docs/launch/evidence-plan/P0-NOTIFICATIONS-009.md; tests/customer-modules/notification-lifecycle.test.mjs; tests/customer-modules/v282-comms-foundation.test.mjs; docs/operations/V282-COMMUNICATIONS-FOUNDATION-RUNBOOK.md","BLOCKED in manifest; schema/lifecycle support noted 2026-07-23","Provider choice/config, templates, consent, outbox/retry worker, webhook, or notification promise changes; no delivery receipt artifact","Resolve outbound-provider vs disabled-promise decision; configure provider; synthetic booking/change/reminder/failure/retry/unsubscribe/staff-alert tests; capture delivery and dedupe evidence","provider account/sandbox, target logs and synthetic recipients","2-4h + 30-60m decision"
P0-PAYMENTS-SUBSCRIPTIONS-010,"docs/launch/evidence-plan/P0-PAYMENTS-SUBSCRIPTIONS-010.md; docs/launch/PRODUCTION_READINESS_REVIEW_2026-07-22.md; tests/billing/v124-stripe-pricing.test.mjs; tests/billing/v134-stripe-catalog-convergence.test.mjs; tests/billing/v125-no-gst-native-readiness.test.mjs; docs/operations/V156-BILLING-DOCUMENT-RUNBOOK.md",BLOCKED in manifest; production catalog missing finding dated 2026-07-22,"Stripe/catalog/subscription schema, payment mode, webhook, tax, invoice, or Settings/Billing UI changes; any live catalog change invalidates prior finding","Owner declares manual vs integrated model; confirm v49 billing support/catalog; run Billing route smoke; if integrated run signed webhook/idempotency/failure/cancellation/reconciliation lifecycle; hash/register JSON",Stripe Dashboard/API and webhook sandbox or documented manual-collection owner,30-45m manual path after v49; processor path open-ended
